"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","18","17","21","22","28","25","20","26","19","24","29","30","27","23","31","43","41","44","46","36","37","45","40","39","32","42","35","38","33","34","47","48","52","50","51","49","53","54","55","56","57","58"
"1",0,0.000347222222222222,0.000238095238095238,0.000380952380952381,5.79268292682927e-05,0.000159574468085106,0,0,1e-04,8.33333333333333e-05,0.000264615384615385,0.000175,0,7.69230769230769e-05,0.000188679245283019,3.7037037037037e-05,2.63157894736842e-06,4.41176470588235e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-0.44,0,0.000822857142857143,0.000493714285714286,0.000295024390243902,0.00171574468085106,0.00106778487471602,0,0,0,0,0,0.0020736,0.00106338461538462,0.00130415094339623,0.001536,0.000145515789473684,0.00203294117647059,0,1.17152542372881e-05,1.41061224489796e-05,8.22857142857143e-05,4.10211123415862e-05,8.64e-05,4.16385542168675e-05,0.000224590590070185,2.38344827586207e-05,5.5296e-06,3.73621621621622e-05,2.02697947214076e-05,8.53333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4463436123348e-05,0,0,0,4.53811831688273e-06,0,0,0,0,0,0
"3",-0.22,-0.0405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16440677966102e-05,1.11428571428571e-05,1.3e-05,2.4302872546122e-05,3.4125e-05,0.000100867469879518,1.77410969586691e-05,3.76551724137931e-05,6.1152e-05,5.9027027027027e-05,1.60117302052786e-05,2.02222222222222e-05,0,2.7029702970297e-06,0,0,0,0,0,4.38250761140327e-06,1.78314826910516e-06,2.29894736842105e-06,4.55e-07,0,0,3.276e-06,0,0,3.6079295154185e-06,0,0,0,1.66587686785488e-06,0,0,0,0,0,0
"4",-1.76,-0.1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181525423728814,7.28571428571429e-05,8.5e-05,5.2967799138984e-05,0.000223125,0.00041578313253012,0,0.000246206896551724,0.00065688,0.000385945945945946,0.000157038123167155,0.000132222222222222,0,1.76732673267327e-05,0,0,0,0,0,6.32383061168005e-05,0,6.76421052631579e-05,2.975e-06,0,0,0,0,0,1.3761013215859e-05,0,0,0,6.89384292929235e-06,0,0,0,0,0,0
"5",-2.09,-0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53061224489796e-05,0,0,0,0.000148192771084337,0,0,0.00023616,0.000398918918918919,0,0,0,0,0,0,0,0,0,0,0,4.66105263157895e-05,0,0,0,5.904e-05,0,0,0.000731497797356828,9.03304773561811e-05,0,0,0.000228018199745333,4.96730769230769e-05,0,0,0,0,0
"6",-0.99,-0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000200745762711864,0.000100714285714286,0.0001175,0.000146440385854838,0.00015421875,0.000356746987951807,0.000160352222511048,0.000425431034482759,0,0.000266756756756757,0.000144721407624633,0.000182777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189138766519824,0,0,0,6.65174738642249e-05,0,0,0,0,0,0
"7",0,-0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000346779321428571,1.81030561016949e-06,2.17975573469388e-05,0,4.75410616171292e-05,0,0.000308842499277108,0,0,1.708928496e-05,0.000461872566486487,0,0,0,0,0,0,0,0,0,2.95621453086078e-06,0,8.88193099894737e-06,0,0,0,0,0,0,3.52889970264317e-06,0,0,0,8.25005926387661e-07,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51948051948052e-05,0,0,4.04761904761905e-05,0,4.25e-05,5.13413654618474e-05,0,0,0,0,0,0,0,0,0,0,1.88888888888889e-05,3.06859205776173e-05,0,4.70523110988099e-08,1.66557805355976e-06,5.36842105263158e-07,1.41666666666667e-07,0,1.73116089613035e-06,1.36e-06,0,1.24770642201835e-07,1.02973568281938e-06,0,0,0,3.47974928811899e-07,0,0,0,0,0,0
"9",-0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57326530612245e-07,0,0,0,0,0,0,3.86508e-07,4.35256756756757e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27185572687225e-07,3.94235006119951e-08,0,0,2.48788556761431e-07,7.74254807692308e-08,8.94694444444444e-08,1.47207495429616e-08,9.25014359563469e-09,6.03390783064818e-09,5.49641638225256e-08
