"","1","2","3","4","15","13","14","5","7","6","16","18","11","9","10","8","17","12","19","20","21","22","23","24","25","26","27"
"1",0,0,0,0,0,0,1.21802487804878e-06,0,0,0,2.59052396372469e-06,0,2.39707296e-06,4.26146357268288e-06,0,0,2.28937219245269e-06,9.5523985115449e-07,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,5.634146e-05,0.000240390229333333,0,0,0.000215240126535299,0.000269426632041571,0,0,0,0,0,0,0,0,0
"3",0,0,0,0.00326326626495684,0.00154046345172254,0.000611791761398219,0.0004191629701,0.000174695621591868,4.33708148469243e-05,0.00049101947926,0.00133722849793867,0.00196575723536393,0.0002062281812892,5.132790597832e-05,0,0,0.00225850273919773,0.000986189780947813,0.0194038672377787,0.0138125180968455,0.000179496439446335,0,0,0,0,0,0
"4",0,0,-0.01190476,0,0,0,0,0,0,0,0,0.0167330421681265,0,0,0,0,0.00670638108712166,0,0.0234284757272852,0.0235151525327756,0.00183350439679457,0,0,0,0,0,0
"15",0,0,-0.01190476,0,0,0.000636072646077092,0.000108949693487085,4.54072420124066e-05,4.22738558325284e-05,0.000191440175698736,0.0046343354213074,0.0206932166398232,0.00012507421242341,0.00038356112039712,0,0,0.00474405467390419,0.00115349581335791,0.0118933374036671,0.0152582585741683,0.000480547233134809,0.0009380568162991,0,0,0,0,0
"13",0,0,-0.01190476,0,-0.008008008,0,0,0.000571666710612198,0.000709624134466562,0.001606791790185,0,0.0192979874772363,0.0002249508506259,0.0001499672337506,0,0,0,0.00242037484952621,0.0262316642393031,0,0.00136858730597336,0.006551692597485,0,0,0,0,0
"14",-0.28,0,-0.01190476,0,-0.002002002,0,0,0,0.00310410094637224,0.00351428571428571,0.000638047057267317,0,0.00246,0.007216,0,0,0.00150366202445399,0.00117637972963829,0,0,0.000770806487621271,0,0.01722,0,0,0,0
"5",0,0,-0.01190476,0,-0.002002002,-0.01001001,0,0,0.00248264984227129,0.0112428571428571,0,0,0.014166,0.0146906666666667,0,0,0,0.0150538349142331,0,0,0,0,0,0,0,0,0
"7",0,0,-0.004761905,0,-0.003003003,-0.02002002,-0.06,-0.02,0,0,0,0,0.048501,0.086224,0,0,0,0.0773111019880578,0,0,0,0,0.0943075,0.0474232,0,0,0
"6",0,0,-0.01190476,0,-0.003003003,-0.01001001,-0.015,-0.02,0,0,0,0,0.01071,0.01904,0,0,0,0.00284530869566985,0,0,0,0,0,0.0238,0,0.00216363636363636,0
