"","1","2","3","4","5","6","7","8","9","11","13","22","24","19","18","34","17","23","28","29","21","12","14","16","37","10","27","25","20","26","15","36","33","32","35","30","31","38","39","41","40","42","43","44","45","46","47","48","49"
"1",0,0,6.0006e-05,3.26119565217391e-10,1.76488235294118e-09,0,0,0,0,0,0,0,0,0,0,0,5.3675097182776e-09,1.90108593427367e-10,1.44877009303554e-09,0,0,7.69307692307692e-10,0,4.68872436382825e-10,0,0,0,4.41581971127842e-10,0,9.66677624607138e-10,1.20274141687417e-09,0,0,0,0,1.98680412371134e-10,0,0,0,1.33958472873409e-09,2.13671216617211e-09,6.27291781731257e-09,2.67168299198575e-11,5.71485714285714e-10,4.27596199524941e-10,1.53861538461538e-09,0,1.43710767889603e-11,0
"2",0,0,0,0,0,0,0,0,0,0,0,0.00162595797643592,0.000955859839720203,0.00145224024450866,0,0,0,0.000596406071271238,0.000606008221431058,0.00177121917037788,0,0,0,0,0,0.00066507684154743,0.00138333191050414,0.000277064980384682,0,0,0,0.000584434483962978,0.00146441438091746,0,0.00143847465803103,0.000922480246820679,0.000443997955010225,0.000811080269302942,0,0,0,0,0,0,0,0,9.49012446852334e-05,4.98336774303252e-05,0
"3",-0.01684788462,0,0,0,0,0,0,0,5.87588294117647e-09,0,0,0,0,0,9.22984615384615e-10,4.8465979134925e-08,7.48805068419545e-08,7.79289359592942e-09,5.79392147195775e-09,1.69342665988287e-08,1.61037399308007e-09,1.07681538461538e-09,3.31092715231788e-10,6.54109773867991e-09,7.94152336298906e-09,2.89001303656598e-08,1.65321913957872e-08,2.29576705053474e-09,3.58084058691868e-10,3.62431615655188e-10,3.91511918535002e-09,9.31276558588975e-10,9.72794553883952e-09,8.79355075119091e-11,5.38595028312471e-09,1.0834946196102e-10,1.8419427402863e-08,0,6.87870483965282e-10,0,0,0,0,0,0,0,0,0,0
"4",-0.01684788462,0,0,0,0,0,0.000187867886675343,0,2.9437056e-05,0.000208942402639175,0.000418216459885714,0,0.000309682849513387,0,0,0,3.90377042336056e-05,0,0.000249196562508903,0,0,0.000931088420307692,0.000875131021192053,0.00247572700091748,0.000310513563492872,0.00029834854054054,0,8.28595307777615e-05,2.80021733897041e-05,0.000243742510160427,0,5.82606615053263e-06,0.000207193550857142,0.000765360965628435,0,0.000641259442606667,0.000933189225357873,4.50024237264765e-06,1.0758294369217e-05,0,1.11371651038576e-06,0.0011280213717848,0,0,0,0,1.04483721624859e-05,0,0
"5",-0.01684788462,0,0,0,0,0,0,0,2.56124385e-05,0,0.000976168659085714,0,0.000121361497965656,0,0,0.00239486558232043,0.00160337469272519,0,0,0,0,0,0.00282625757119205,0.000521188126720277,0.00040386264105887,0.000416318724324324,0,0.000105260624937909,0.000220070777716986,0,0.000359281165927226,0,0.000280375885076664,9.83098455698058e-05,0.00011218015905592,1.67309627511476e-06,0,0.000109746399817747,2.12437334464611e-05,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97862232779097e-07,5.38461538461538e-07,0,0,0
"7",0,0,0,-0.00174102588,0,0,0,0,0,0,0,0,0,0,0,8.06958270072173e-05,0,1.42410324886069e-05,0.000108527350560425,7.04888600387551e-05,2.6812717597377e-06,0,0,0,3.30565821797117e-05,3.77168124006359e-05,8.25782648166213e-05,6.61578004848821e-06,0,9.05172618044959e-06,0,3.29497254399752e-05,2.9463885503576e-05,6.22253572737266e-05,1.56411712134653e-05,0.000149000622716156,4.817461657379e-05,1.63188619972302e-05,0,0,0,1.47932822920605e-05,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88820331047553e-05,5.597208218476e-07,0
"9",0,0,-1.178702118,-0.05571282816,-0.184691529,0,0,0,0,0,0,0,0,0,0.00050949051,0,0,0.000209839130891411,0.00479739524870239,0,0,0.029040964,0.0208351262582781,0.000240713791157841,0.00350699679792229,0.0621270702702703,0.00365032937072187,0.024078142126608,0.00566635579905496,0.0193394589663725,0.0055572647798877,0.00164501598928925,0.0071693692666844,0.0105818687138146,0,0.0595700086838739,0.0473162807770961,0.00206482957416322,0.00759413489342674,0,0.0194967052522255,0.0426977276710811,5.07222039536955e-05,0.000744341386285714,0.00062300645415677,0.0020379617,0.00224635267779814,0,0
"11",0,0,0,-0.18803079504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000604445053846154,0.00144550877483444,9.5192008595862e-05,0,0.000138805612082671,0,0.00169620466749627,0,0.00258447304673872,0.000244184478356082,0,0,0.000115174579699524,0,0.0117195648175182,0.0301206244785276,0.000188434978207565,0,0,0.00755466637032641,0.00132342883650752,0.001388231850935,0.000823196597142857,0.000745338659429929,0.00504375817153846,0.000392698082972223,0,0
"13",0,0,0,-0.13580001864,-1.207699218,0,0,0,0,0,0,0,0,0,0.000201923076923077,0.00339295783522827,0,0,0,0,0,0.000134615384615385,0.036796357615894,0.000457922633970991,0.000138990557908099,0.0212559618441971,0,0.00537793061527559,0.0133959214125839,0.00167037273275093,0,0.000725304150416206,0,0.00102729937706119,0,0.0030253969448416,0,0.000786865786176342,0,0,0,0.00121656302868005,0,0,0,2.55769230769231e-05,1.18449609243655e-05,0,0
"22",0,-0.17691,0,0,0,0,0,0,0,0,0,0,0,0,0.000507134454336462,0,0,0.0143130042425239,0,0,0,0.00600553949707923,0.000363838184678477,0.00047920134704659,0.0011635932821008,0.00989289207576152,0,0.0075276104428639,0.000800804839078239,0.00714102796273025,0.00368771009666371,0.00200367219197206,0,0,0.00154304463329577,0.000635015078266988,0.00414397279089979,0,0,0.00155094306764903,0.000220562052818991,0.00129374969474748,2.47432733748887e-06,2.114966503164e-05,0,9.25297867399231e-05,0.000102277592962004,4.32126488458114e-06,0
