"","1","3","2","4","5","6"
"1",0,0.0699055504461663,0.0346249583333333,0,0,0
"3",-0.87,0,0.0728106544117647,0,0.0016975284,0
"2",-4.35,-4.2,0,0,0.102,0
"4",0,0,0,0,0.229571428571429,0.182489211900977
"5",0,-2.4,-9,-19.6,0,63.5930047694754
"6",0,0,0,-3.92,-68.5,0
