"","1","3","2","4","5","6"
"1",0,0.0281734703703704,0.0407230664251834,0,0,0
"3",-0.87,0,0.212479708243457,0,0.000227395566480579,0
"2",-4.35,-4.2,0,0,0.00561854463135449,0
"4",0,0,0,0,7.34230698987625,2.8
"5",0,-2.4,-9,-19.6,0,30.5081223529412
"6",0,0,0,-3.92,-68.5,0
