0,3.75e-05,7.5e-05,3.75e-05,1e-04,6.34694428483055e-05,0,0,1e-06,0,0,0,0,0.00425867474300673,0,0,0,0,0,0,0,0,0
-1.92,0,0,0,0,0,0,0,0.0108,0,0,0,0.002025,0,0,0,0,0.0371035205400624,0,0,0,0.00081,0
-3.2,0,0,0,0.0166666666666667,0.105782404747176,0,0,0.004833335,0.446375962832952,0.12903542151356,0,0,0,0,0,0,0.014314629837987,0,0,0,0,0
-1.28,0,0,0,0.08,0.304653325671866,0,0,0.0048,0,0.371622013959052,0,0,0,0,0,0,0.00687102232223377,0,0,0,0,0
-1.28,0,-0.05,-0.3,0,0.126938885696611,0,0,0.008,0,0.154842505816272,0,0,0,0,0,0,0.0687102232223377,0,0,0,0,0
-1.28,0,-0.5,-1.8,-2,0,0,0,0,1.36087138837208,0,0,0.0095272224375,0,1.25786929009853,0,0,0.366585845006914,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88888888888889,0,0.665217391304348,0,0.235384615384615
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154074074074074,0,0.00723478260869565,0,0.0016
-1.28,-2.7,-1.4500005,-1.8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88888888888889,0,1.82608695652174,0,0.403846153846154
0,0,-1,0,0,-2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389611130434783,0,0.0689312
0,0,-0.5,-1.8,-2,0,0,0,0,0,0,0,0,0,0.234709962041673,0,0,0.535819244874647,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.25e-05,0,0,0,0,0.00108791186768701,0,0,0,0,0
0,-0.054,0,0,0,-0.215,0,0,0,0,0,-0.6666665,0,0,0,0,0,0,0,0,0.139130434782609,0,0.196923076923077
-2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123679622593807,0,0,0,0,0,0,0,0.000758632538461538
0,0,0,0,0,-10.105,0,0,0,0,-2.3,0,0,-2,0,0,0,0,2.10952592592593,0,0,0,0.744824923076923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0
0,-1.08,-0.5,-0.3,-8,-9.03,0,0,0,0,-16.1,-12.6666635,0,0,0,0,0,0,0,0,0,0,1.03175778461538
0,0,0,0,0,0,-0.3,-0.52,-0.35,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013695652173913,0,0.0193846153846154
0,0,0,0,0,0,-0.9,-2.08,-1.4,-20,0,0,-2,0,0,0,0,0,0,-1.4,0,0,0
0,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4.48,0,0,0,0,0,0
0,0,0,0,0,0,-1.8,-2.6,-1.75,-20,0,0,-16,-14,-42.5,0,0,-28.8,0,-11.2,0,0,0
