0,0,0,0.000743095828635851,0,0,0,0,0,0,0,0,0,0.000193088235294118,0.000625515079229852,0,0,0,0
0,0,0,9.9815107102593e-05,0,0,0,0,0,0,0,0,0,0,0.000294245697733856,0,0,0,0
0,0,0,0,0,0,0.0139419780102477,0.0069325897333066,0,0.00421758344062593,0.00411577909270217,0.0141689672293942,0,0,0,0,0,0.00419994176834099,0
-12.320837,-5.81808,0,0,8.34605665742774e-05,0,8.25013521206946e-05,0,0,9.84147200724402e-05,0,0,0.00147727221969147,0,0.000395061850400409,0.0420746740007075,0,0,0.00787346439512167
0,0,0,-0.010426,0,0.129994521051267,0.231132700683177,0.0904539778423902,0,0.0799913879653079,0.0981267917062362,0.0938579252376223,0.0540567098605075,0,0,0,0,0.0762425796228807,0
0,0,0,0,-0.247225,0,0.0412977789638486,0.0112353214357329,0.0323204603154574,0.0120044508835722,0.0159826100762169,0.0158974458788481,0.00946060775888603,0,0,0,0,0.0104636353985105,0
0,0,-2.917455,-0.010426,-1.068012,-0.47183,0,0.0930609635931662,0,0.104403120638141,0.110749052577865,0.118509169910943,0.0568526836776184,0,0,0,0,0.084568088982906,0
0,0,-0.514845,0,-0.148335,-0.045556,-0.09452547462,0,0.0338675507886435,0.0188606944354051,0.01786416334283,0.0139613360760392,0.0127222745897098,0,0,0.000632945030067209,0,0.0131130995880209,0
0,0,0,0,0,-0.104128,0,-0.14856,0,0,0,0,0.0012096350479544,0,0,0,0,0,0.0511729585717589
0,0,-2.219554,-0.031278,-0.929566,-0.344924,-0.7514772441,-0.737848,0,0,0,0,0,0,0,0,0,0,0.192925154918791
0,0,-2.51702,0,-1.325126,-0.533656,-0.9263496702,-0.812128,0,0,0,0,0,0,0,0.576739311637779,1.15337561982957,0,0
0,0,-0.743665,0,-0.108779,-0.045556,-0.08507293662,-0.054472,0,0,0,0,0,0,0,0,0.170103103000117,0,0
0,0,0,-2.158182,-2.887588,-1.249536,-1.8810569544,-2.287824,-0.23301,0,0,0,0,0,0,0.526918051220375,1.66502251145959,0,0
-2.45435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946902027602658,0.0174327272727273,0,0,0
-34.311813,-56.74192,0,-0.010426,0,0,0,0,0,0,0,0,0,-4.20184,0,0.0797042171206226,0.177570193042531,0,0
0,0,0,-5.348538,0,0,0,-0.009904,0,0,-0.947505,0,-0.286161,-3.72616,-4.131864,0,17.694493201681,0,0
0,0,0,0,0,0,0,0,0,0,-3.445031,-7.899119,-1.644023,0,-16.736136,-123.325254,0,0,0
0,0,-0.789429,0,-0.316448,-0.107382,-0.21740856324,-0.183224,0,0,0,0,0,0,0,0,0,0,0.264198573781862
0,0,0,-2.45011,0,0,0,0,-2.099679,-1.036175,0,0,0,0,0,0,0,-2.175174,0
