"V1","V2","V3"
3,-0.0219238893636498,-1.05378692418354e-05
3,-0.00199661843116923,-7.95948974540901e-09
3,-0.0125060830604754,-1.95597782245884e-06
3,-0.00488037164167495,-1.16240825292604e-07
3,-0.0232751608172405,-1.26089252801412e-05
3,-0.0089193395109318,-7.09574641461461e-07
3,-0.0282386222642683,-2.25180361619908e-05
3,-0.0023531948644275,-1.3030877909482e-08
3,-0.0140101400631792,-2.74996667666902e-06
3,-0.0049374371179904,-1.20366250684095e-07
3,-0.0157329011027508,-3.89427339899471e-06
3,-0.0099085697925493,-9.72820957940573e-07
3,-0.000543566367269203,-1.60604508187944e-10
3,-0.000582323865352398,-1.97466654072633e-10
3,-0.000188998177169234,-6.75107366187056e-12
3,-0.00224201511904002,-1.12697844800043e-08
3,-0.00579646669919751,-1.94755636464236e-07
3,-0.00452999980854142,-9.2959665213293e-08
3,0.0422289148004841,7.5306031769973e-05
3,-0.00816193510440154,-5.43725137938682e-07
3,-0.0112478329608003,-1.42300548578566e-06
3,-0.0295066058801783,-2.5689625163896e-05
3,-0.0107460081607019,-1.24091346804641e-06
3,-0.00439851377577142,-8.50977092505055e-08
3,-0.0279647408336742,-2.18691748265073e-05
3,-0.00648931368394752,-2.73272735068339e-07
3,-0.0127114976878266,-2.05395142442766e-06
3,-0.0158337470605668,-3.96963986919121e-06
3,-0.0037495119160836,-5.2713786639702e-08
3,-0.000622959123293044,-2.41756773816671e-10
3,-0.00135893326559248,-2.50954154562864e-09
3,-0.00419041823949493,-7.35820891620618e-08
3,-0.0130795667669779,-2.23758775853058e-06
3,-0.00971429289668815,-9.16713403616681e-07
3,0.00384580619890909,5.68803402172553e-08
3,-0.00359766554333962,-4.65652951689518e-08
3,-0.00199868369934769,-7.98421478577603e-09
3,-0.008595985989692,-6.35165787024978e-07
3,-0.00645239101377544,-2.68634652088369e-07
3,-0.00194678802015232,-7.37829466011528e-09
3,-0.0105940147038144,-1.18899961534324e-06
3,-0.00244361705221617,-1.45914832615932e-08
3,-0.00484326028803206,-1.13609180984648e-07
3,-0.00651845019407111,-2.76970206367532e-07
3,-0.00153545665681182,-3.62003429399023e-09
3,-0.0109805544007596,-1.32395371845663e-06
3,-0.00246237214961448,-1.49300434431215e-08
3,-0.00422313832818675,-7.53192385316064e-08
3,-0.000886896494507197,-6.97619826768012e-10
3,-0.0020682324340596,-8.84704086642044e-09
3,-0.000770529289348088,-4.57475094251787e-10
3,-0.000596449997432025,-2.12188637020433e-10
3,-0.000774351000293196,-4.64315937671383e-10
3,-0.00161083656191932,-4.17978973724577e-09
3,-0.00531885463028126,-1.50471538800188e-07
3,0.0240887147024296,1.39778663654963e-05
3,0.0138605357267377,2.66280920660981e-06
3,0.00917279483779614,7.71800472413562e-07
3,-0.0270751023309963,-1.98477060906629e-05
3,-0.0105903841551012,-1.18777763048262e-06
3,-0.00992856929494288,-9.78723494387466e-07
3,-0.0222757834522844,-1.10534782776732e-05
3,-0.0452926466346325,-9.2914415045374e-05
3,-0.0126751100683349,-2.03636309662708e-06
3,-0.00424986586717981,-7.67583569071967e-08
3,-0.0350651720914193,-4.31149536899356e-05
3,-0.000752682338532172,-4.26417654187307e-10
3,-0.000706535012503044,-3.52696430881928e-10
3,-0.00156850974229447,-3.85888344832363e-09
3,-0.0117909256671228,-1.63924438388381e-06
3,-0.00167575835186158,-4.70580771812624e-09
3,-0.0114836464232761,-1.51439594072299e-06
3,0.00940037576510925,8.30683611797037e-07
3,0.0191009838484842,6.96894780876149e-06
3,0.00509594771912712,1.32335051697945e-07
3,0.0449513681784486,9.08298808513574e-05
3,-0.0136381902520895,-2.5367065693902e-06
3,-0.00949113259249982,-8.54976389703174e-07
3,-0.00042402428124364,-7.62381203045283e-11
3,-0.00306359457547589,-2.87537091617544e-08
3,-0.0017949111895097,-5.78267646861242e-09
3,-0.00335023898772791,-3.76034216933501e-08
3,-0.0155487060311041,-3.75909029836467e-06
3,0.0448316795809258,9.01062734733792e-05
3,0.0501078922762359,0.000125810939439206
3,0.0219167721296353,1.05276097296958e-05
3,0.0175826577306105,5.43567605051339e-06
3,-0.0181456376499905,-5.97470824236783e-06
3,-0.023888138247185,-1.36316024311293e-05
3,-0.0339542452627735,-3.9145536012101e-05
3,-0.00373686423309026,-5.21821487361284e-08
3,-0.00903993281833874,-7.38746793543856e-07
3,-0.0391990547418529,-6.0231930540639e-05
3,-0.000851854365237461,-6.18153111638354e-10
3,-0.00322130437718797,-3.34268373510491e-08
3,-0.0132520926944823,-2.3273054951143e-06
3,-0.00971722048709904,-9.17542461464717e-07
3,-0.011873950379924,-1.67411654762891e-06
3,0.0171800733910028,5.07078321686949e-06
3,0.0182487888136847,6.07718050308854e-06
3,0.0164513510968728,4.45250804566359e-06
3,0.0164838813314946,4.47897293397841e-06
3,0.0272411573826148,2.02151359282786e-05
3,0.0303095341969228,2.78443950163179e-05
3,-0.00326303159629035,-3.4742721689902e-08
3,-0.0377808544957046,-5.39281259727177e-05
3,-0.0154810822449279,-3.71025666274922e-06
3,-0.00431508335956708,-8.03466122365591e-08
3,-0.0100136186824919,-1.00409117132879e-06
3,-0.0428650151867837,-7.87605872776184e-05
3,-0.00335608641495,-3.78006618974886e-08
3,0.0543920995905956,0.00016091905371915
3,0.00746952242988925,4.16752781585032e-07
3,0.00496363180134859,1.22292176686994e-07
3,0.0369833115009389,5.05844912438741e-05
3,0.0399015100527068,6.35284113299797e-05
3,-0.0240447139395892,-1.39014097292286e-05
3,-0.0148302368283468,-3.26170184568873e-06
3,-0.0200522174900448,-8.06282473040947e-06
3,0.00453262939757429,9.31216437898384e-08
3,0.00619401360475268,2.37638315252407e-07
3,-0.00452069024089434,-9.23877201534568e-08
3,-0.000485589018714175,-1.14500285787613e-10
3,-0.000975045711521629,-9.26989744657755e-10
3,-0.00729678636000486,-3.88503461512644e-07
3,0.0751969986949563,0.000425208092531917
3,0.0567154143477163,0.000182432969716772
3,0.0717170887991465,0.000368865430729942
3,-0.0268776800782054,-1.94166964360892e-05
3,-0.00867400109887355,-6.52617054056085e-07
3,-0.00090844373588477,-7.49711381234657e-10
3,-0.00540343066641838,-1.57764305404105e-07
3,-0.0116237739384391,-1.5705127458713e-06
3,-0.00204100705742622,-8.50224311826389e-09
3,-0.0346426596054327,-4.1575136096946e-05
3,0.0269857688687201,1.96518929175416e-05
3,0.047489508854962,0.000107100878745007
3,0.0270110498644292,1.97071759449156e-05
3,0.00874323983348663,6.68370348566117e-07
3,0.0210438185022777,9.31909292649959e-06
3,0.00624186465346759,2.43188504487239e-07
3,0.0293867929904183,2.53779525495843e-05
3,-0.0234024208385826,-1.28168810745413e-05
3,-0.0136466883127532,-2.54145144853237e-06
3,0.0095102929927235,8.60164848322812e-07
3,0.011020102831969,1.33831067221592e-06
3,0.00623037289378268,2.41847788866185e-07
3,0.00183615788931176,6.19056187866141e-09
3,0.00819105921781033,5.49566431166614e-07
3,-0.00583814766131881,-1.98987238741167e-07
3,0.0190082408097655,6.86792866845956e-06
3,-0.00180063418114355,-5.8381664127733e-09
3,-0.00486422749975102,-1.15091072205086e-07
3,-0.00240564395881008,-1.39217571387739e-08
3,-0.019081230329701,-6.9473490899421e-06
3,0.0303040819633977,2.78293713440099e-05
3,0.0215865680857288,1.00589073067872e-05
3,0.0123486278624232,1.88302509919306e-06
3,0.0042818990989914,7.85071636801899e-08
3,0.00705582874513892,3.51272453369637e-07
3,0.0150998360146063,3.44283883028928e-06
3,-0.0138903073124984,-2.68000474427238e-06
3,0.0190854890126373,6.95200180263471e-06
3,0.0268887480743093,1.9440693197819e-05
3,0.0166197790123378,4.59066640388176e-06
3,0.0582168607029619,0.000197308751383161
3,0.0189577525985854,6.81334772490983e-06
3,0.0654760727124879,0.000280703525349769
3,0.0813680405475435,0.000538718107234053
3,0.050580895486252,0.000129407528098903
3,0.0107468087396611,1.24119083333736e-06
3,0.0492206893748028,0.000119245795773738
3,-0.00508011692268965,-1.3110556426944e-07
3,-0.0140526375012404,-2.77506736624699e-06
3,0.00104699569638763,1.14771667008232e-09
3,0.00636739243891796,2.58157562682513e-07
3,0.00159524075508768,4.05955761325276e-09
3,0.00124963889359122,1.95143280265366e-09
3,0.000846953442201643,6.07545225557159e-10
3,0.00142289345307059,2.88082676555987e-09
3,0.0158845671383131,4.00798561189767e-06
3,0.00357477897273617,4.56822602992168e-08
3,-0.000374646131525204,-5.25852275686425e-11
3,-0.000689300746084282,-3.27511267429275e-10
3,-0.00356690519774675,-4.53810667128948e-08
3,0.00112164883193705,1.41114202348121e-09
3,0.00105790441534435,1.18396615893068e-09
3,0.00123484124150623,1.8829265411068e-09
3,0.00117302291565597,1.61405930979476e-09
3,0.0061192768574465,2.29139682989343e-07
3,0.00115436626535344,1.53826401277178e-09
3,0.00166361928590435,4.60428119429162e-09
3,0.00081975500682934,5.50873947414706e-10
3,-0.00229686220904033,-1.21172711621277e-08
3,-0.00149012933853809,-3.30881050824359e-09
3,0.000364040695003658,4.82447215841243e-11
3,0.00230773007100232,1.22900889912936e-08
3,0.00160315291253332,4.12026211571429e-09
3,0.00260411421738725,1.76595684271747e-08
3,0.00358518669247622,4.60824252409926e-08
3,0.00538070014746089,1.55781675956776e-07
3,0.00231792695711811,1.24537240637159e-08
3,0.00989522092740906,9.68894487511117e-07
3,0.00965689664608713,9.00560201073679e-07
3,0.00956114611035836,8.74037095129607e-07
3,0.00150824388740759,3.43095262782783e-09
3,0.00431847943915991,8.0536466017502e-08
3,0.00711613618284845,3.60356825150906e-07
3,0.0039148800036006,6.00005684086779e-08
3,0.0195758536513739,7.50174208517065e-06
3,0.00669182537031154,2.99663465247457e-07
3,0.0221356099163819,1.08461218357213e-05
3,0.0311971546401267,3.03630193964241e-05
3,0.021286441564976,9.64515476516053e-06
3,0.00477589814183277,1.08934430516489e-07
3,0.0264480763789439,1.85004491083133e-05
3,-0.0101415185204044,-1.04305921513082e-06
3,-0.00477952328588475,-1.09182678794375e-07
3,0.0111649212566317,1.39176846954334e-06
3,0.0222116201789185,1.09582376614056e-05
3,0.027996591542506,2.19439842838115e-05
3,0.00333494413370464,3.70907563337051e-08
3,0.00278217344229215,2.15353831014196e-08
3,0.0162311422907158,4.27609411286385e-06
3,0.00373766538231911,5.22157180463892e-08
3,0.0465346254661379,0.000100769399033728
3,0.0108222863506553,1.26752654336872e-06
3,0.0277814813072162,2.14420446354174e-05
3,0.00432286018416444,8.07818077475182e-08
3,0.0151494164115459,3.47686405043606e-06
3,0.00872550361790633,6.64311099447561e-07
3,0.016496737848593,4.48946116456436e-06
3,0.00627819186375783,2.47459283587648e-07
3,0.0110117211557138,1.33525931485564e-06
3,0.019065694086513,6.93039297485156e-06
3,0.0310572546840974,2.99563703051324e-05
3,0.0198336323051761,7.80201485404415e-06
3,0.00637065388412385,2.58554458943151e-07
3,0.042182207685224,7.50564322741451e-05
3,0.0173462819274312,5.21938342399161e-06
3,0.0634405790453132,0.000255329746983484
3,0.0271358050462934,1.9981502024756e-05
3,0.0378817539236265,5.43613503071595e-05
3,0.00780466725449636,4.75404377120733e-07
3,0.00280453079051399,2.2058736721624e-08
3,0.00713965944654814,3.63942262647917e-07
3,-0.00964306597671467,-8.96696375852098e-07
3,-0.00567147530252449,-1.82426588085763e-07
3,-0.00104050098506043,-1.12649037952625e-09
3,-0.00944441548580429,-8.42413375734694e-07
3,-0.00304800785220622,-2.83170654407124e-08
3,-0.0129469811652827,-2.17022893063911e-06
3,-0.000179149119270551,-5.74968473599011e-12
3,-0.00658791332405242,-2.85919403958617e-07
3,-0.00256270813796267,-1.68305165039242e-08
3,-0.00500670973823024,-1.25503905978151e-07
3,-0.00137308481119503,-2.58876178675815e-09
3,-0.00798056556904161,-5.0827764664622e-07
3,0.0176592010054274,5.50697556908637e-06
3,0.0153003153443588,3.58179846144726e-06
3,-0.0319845303045982,-3.27205000659251e-05
3,-0.0132735636845493,-2.33863590726711e-06
3,0.0103860870190498,1.12035555266455e-06
3,0.00595184555680585,2.1084094777927e-07
3,-0.00281695361758143,-2.23531683296637e-08
3,-0.00790912123170327,-4.94748740736427e-07
3,-0.00875110387467762,-6.70175453203016e-07
3,-0.00292796003540737,-2.51012548946112e-08
3,0.00190545373078403,6.91823360272523e-09
3,0.00616371460347789,2.34168009616642e-07
3,-0.00640417404832906,-2.62657241646844e-07
3,-0.0027868082593285,-2.16431897487373e-08
3,0.0172954153632588,5.17360168299345e-06
3,0.0116279972222636,1.57222521841583e-06
3,0.0601971907669279,0.000218136667106168
3,0.0173057751935517,5.18290410424035e-06
3,-0.0134559851192001,-2.43638823969636e-06
3,0.00558177072086868,1.73906566112791e-07
3,0.00318896584888738,3.24301983582963e-08
3,0.0249818033176155,1.55909060484474e-05
3,-0.00470271010741732,-1.04002702398469e-07
3,-0.00289572997012338,-2.42814256968064e-08
3,0.0237096109643236,1.33282547160928e-05
3,0.0185347262215584,6.36734711789256e-06
3,0.019148099000371,7.02064466459654e-06
3,0.012053117029405,1.75104827764562e-06
3,0.00702491579902077,3.46675674661565e-07
3,0.00032807307497255,3.5311142348443e-11
3,0.00640660531859764,2.62956499537958e-07
3,0.00524497395522269,1.44287931658248e-07
3,0.030026266161315,2.70709807456826e-05
3,0.00432564601095292,8.09380856560216e-08
3,-0.0044753766295402,-8.96373005051948e-08
3,-0.00390631925927982,-5.96078152698284e-08
3,-0.0915304139545439,-0.000766825028635792
3,-0.021119651100345,-9.42020205103397e-06
3,-0.00536634722486069,-1.54538363768981e-07
3,-0.102445655460015,-0.00107517866101852
3,-0.0203064981869424,-8.37346308543551e-06
3,-0.0652912483352326,-0.000278333138344976
3,-0.0169953067206985,-4.90893205011264e-06
