0,0,0,0.0496846860979512,0.0429425779805714,0.0628862099525318,0,0,0,0,0.140274034346074,0.0061462996941896,0.000402888888888889,0,0
0,0,0,0.00773381859253914,0.014304520908393,0,0.00465486803968413,0.00261412928580922,0,0.000221751004016064,0.0605248235715337,0.00112922629969419,0.00279914444444444,0,0
0,0,0,0,0.0157852236910389,0.0231162854645446,0.0102734140806588,0,0.12694077,0.00994114463855422,0,0,0,0,0
-0.5992,-0.495,0,0,0,0,0.0500768173273855,0.00699071822618509,0,0.0069307774497992,0.0764352335325859,0.0250573439602446,0.0165969793888889,0,0
-0.56,-0.99,-0.455,0,0,0.00644347258136966,0.00715907212334281,0.100511657566348,0.221148033333333,0.000106577365461847,0,0.0282014464525994,0.0169546825555556,0,5.3075528e-05
-0.56,0,-0.455,0,-0.0352,0,0.0185902234012936,0.011611320134945,0,0.00256144037349398,0.002664744658075,0.00905728341284404,0.00838994396666667,0,0.000276484145142857
0,-0.495,-0.455,-0.64,-0.088,-0.4935,0,0.00765805114771438,0,0.00253079614457831,0.064001839254266,0.04029948,0.0422171533333333,0,0
0,-0.2178,0,-0.07,-0.968,-0.2415,-0.0438,0,0,0,0,0,0,0,0.00149363691428571
0,0,-0.91,0,-0.44,0,0,0,0,0,0,0.00825688073394495,0,0,0.00115714285714286
0,-0.3168,-5.915,-1.19,-0.0176,-0.9135,-0.2482,0,0,0,0,0.152293577981651,0,0.711428571428572,0.0213428571428571
-1.6688,-3.8214,0,-0.58,0,-0.042,-0.2774,0,0,0,0,0.022715628440367,0,0,0.00141485914285714
-2.1728,-2.1186,0,-5.65,-6.116,-4.242,-5.1903,0,-4.5,-1,-3.375,0,1.81666666666667,0,0.186857142857143
-0.0392,-1.4454,0,-1.03,-1.012,-1.0815,-1.4965,0,0,0,0,-2.5,0,16.2,0.138857142857143
0,0,0,0,0,0,0,0,0,-0.5,0,0,-31.5,0,0
0,0,0,0,-0.1232,-1.386,0,-3.69,-6.75,-1.5,-2.25,-10,-27,0,0
