"V1","V2","V3"
3,-0.0148074215851556,-3.24667131799495e-06
3,-0.0377709865523417,-5.38858807097892e-05
3,-0.038035909787836,-5.50277082516778e-05
3,-0.0132880857246398,-2.34632011360668e-06
3,-0.0205469673863846,-8.67447490101755e-06
3,-0.016992825366545,-4.90678221766885e-06
3,-0.00779022976980985,-4.72770970356165e-07
3,-0.0206711309763707,-8.83268446754978e-06
3,-0.0157805834999696,-3.92978845729967e-06
3,-0.0292681273446044,-2.50717591944656e-05
3,-0.025553450789085,-1.66858628390101e-05
3,0.0291170985475721,2.46856341912643e-05
3,-0.0209746653672045,-9.22752270069868e-06
3,-0.0138307547012858,-2.64568196328635e-06
3,-0.0142908450729177,-2.91859432167994e-06
3,-0.0106721243907072,-1.21549348610743e-06
3,-0.0143772034437089,-2.97182515672013e-06
3,-0.0405654257388878,-6.67525890687568e-05
3,-0.032956759621816,-3.57959187069251e-05
3,-0.0159344610390833,-4.04587197356194e-06
3,0.0742723188746163,0.000409714137647126
3,0.0630668195053378,0.000250843464004346
3,-0.037740593516614,-5.37559049145554e-05
3,-0.0498965050557337,-0.00012422539348997
3,-0.0232316588342149,-1.25383579433267e-05
3,-0.0232538429474242,-1.25743112149428e-05
3,-0.014473291255495,-3.03180947138155e-06
3,-0.0332480723554152,-3.67535601009462e-05
3,-0.0628605829256607,-0.000248390631801772
3,-0.0296509059365386,-2.60683714855879e-05
3,-0.0616718513400887,-0.000234563783085347
3,-0.038484250195728,-5.69966182044532e-05
3,0.0747932600736675,0.000418395871721142
3,0.0792037260810642,0.000496863208394193
3,-0.0857528273329317,-0.000630587480098695
3,-0.0202438389938737,-8.29618873799044e-06
3,-0.0332040874104425,-3.66078855859364e-05
3,-0.0315964300075304,-3.15438026531247e-05
3,-0.0885072928378445,-0.000693325497108756
3,-0.109412154244874,-0.00130977503161991
3,-0.0299575267608884,-2.68854845356217e-05
3,-0.0392383975479302,-6.0413471066877e-05
3,0.104714546078801,0.00114820925573788
3,0.243816082560536,0.0144939596281083
3,-0.0470578449953055,-0.000104206810769572
3,-0.0392881419278317,-6.0643529555059e-05
3,-0.0765177556697308,-0.000448008929213188
3,-0.169508241523554,-0.00487048775263554
3,-0.0751949937736373,-0.00042517408242294
3,-0.0779629322815841,-0.000473875761472226
3,0.0261294985982435,1.78399333800965e-05
3,0.0415864422672718,7.19209315274095e-05
3,0.0487547696329652,0.00011589143119474
3,0.0575581432470977,0.000190686666688626
