0,0.688163265306122,0.24017094017094,0.194688221709007,0.0332544378698225,0.012975468975469,0.711392405063291,0,0,0.0308226691042047,0.00806312769010043,0,0
-1.2,0,0,0,0,0,0,0,0,0,0.0123027259684362,0.02744,0.001372
-0.5,0,0,0,0,0,0,0,0,0.0256672760511883,0.00839311334289814,0.01248,0
-1.5,0,0,0,0,0,0,0,0,0.0949908592321755,0,0.10392,0.011691
-1.5,0,0,0,0,0,0,0,0,0.833444972577697,0.347480487804878,0,0
-0.8,0,0,0,0,0,0,0,0,0,0.0677340387374462,2.01432,0.013218975
-1,0,0,0,0,0,0,0,0,0.0577696526508227,0.0113342898134864,0,0
0,0,0,0,0,0,0,0,0,0,0.00464849354375897,0.13824,0
0,0,0,0,0,0,0,0,0,0.0877513711151737,0.0172166427546628,0,0
-1.5,0,-1.44,-3,-1.6,0,-3.2,0,-5,0,0.470875179340029,0.4376,0
-2,-2.9,-2.4,0,-3.4,-0.51,-3.2,-2,-5,-12,0,7.8064,0.39032
0,-1.74,-0.96,-4.5,0,-4.08,0,-16,0,-3,-9,0,3.375
0,-1.16,0,-6.75,0,-0.357,0,0,0,0,-6,-200,0
